Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
0,1,1/3,1,1,"(0,)",1,0,[],0,0,True,2
1,1,2/3,1,1,"(0,)",1,0,[],0,0,True,3
2,2,1/3,1,2,"(0,)",1,0,"[(0, 1)]",1,2,False,4
3,2,2/3,1,2,"(0,)",1,0,"[(0, 1)]",1,2,False,5
4,3,1/3,1,3,"(0,)",1,0,"[(0, 1), (0, 2)]",2,2,False,6
5,3,2/3,1,3,"(0,)",1,0,"[(0, 1), (0, 2)]",2,2,False,7
6,4,1/3,1,4,"(0,)",1,0,"[(0, 1), (0, 3), (1, 2)]",2,2,False,8
7,4,2/3,1,2,"(0,)",2,1,"[(0, 1), (0, 3), (1, 2)]",2,2,False,9
8,4,1/3,1,4,"(0,)",1,0,"[(0, 1), (0, 2), (0, 3)]",3,3,False,10
9,4,2/3,1,1,"(0,)",2,1,"[(0, 1), (0, 2), (0, 3)]",3,3,True,11
10,5,1/3,1,5,"(0,)",1,0,"[(0, 1), (0, 3), (1, 2), (3, 4)]",2,2,False,12
11,5,2/3,2,8,"(0, 1)",2,0,"[(0, 1), (0, 3), (1, 2), (3, 4)]",2,2,False,13
12,5,1/3,1,5,"(0,)",1,0,"[(0, 1), (0, 3), (0, 4), (1, 2)]",3,3,False,14
13,5,2/3,1,1,"(0,)",2,1,"[(0, 1), (0, 3), (0, 4), (1, 2)]",3,3,True,15
14,5,1/3,1,5,"(0,)",1,0,"[(0, 1), (0, 2), (0, 3), (0, 4)]",4,4,False,16
15,5,2/3,1,1,"(0,)",3,2,"[(0, 1), (0, 2), (0, 3), (0, 4)]",4,4,True,17
16,6,1/3,1,6,"(0,)",1,0,"[(0, 1), (0, 4), (1, 2), (2, 3), (4, 5)]",2,2,False,18
17,6,2/3,2,13,"(0, 1)",2,0,"[(0, 1), (0, 4), (1, 2), (2, 3), (4, 5)]",2,2,False,19
18,6,1/3,1,6,"(0,)",1,0,"[(0, 1), (0, 4), (1, 2), (1, 3), (4, 5)]",3,3,False,20
19,6,2/3,1,1,"(1,)",2,1,"[(0, 1), (0, 4), (1, 2), (1, 3), (4, 5)]",3,3,True,21
